time,if_score,anomaly_count
2026-04-30 02:10:00+00:00,-0.0150167577204674,46
2026-05-01 01:55:00+00:00,-0.006182930802368758,46
2026-05-01 02:00:00+00:00,-0.07690131754074014,46
2026-05-01 02:05:00+00:00,-0.08851010600688614,46
2026-05-01 02:10:00+00:00,-0.004318743631509969,46
2026-05-01 02:15:00+00:00,-0.07608869218384395,46
2026-05-01 02:20:00+00:00,-0.06833293463062329,46
2026-05-01 02:35:00+00:00,-0.07503193171330369,46
2026-05-01 02:40:00+00:00,-0.051981653508780146,46
2026-05-01 03:05:00+00:00,-0.1350568707930352,46
2026-05-01 03:15:00+00:00,-0.05709085494229105,46
2026-05-01 03:20:00+00:00,-0.037782459259093404,46
2026-05-01 03:25:00+00:00,-0.10092546220952925,46
2026-05-01 03:30:00+00:00,-0.11514492857097258,46
2026-05-01 03:35:00+00:00,-0.02634864608748566,46
2026-05-01 03:40:00+00:00,-0.03001699590477802,46
2026-05-01 03:45:00+00:00,-0.07240876017768305,46
2026-05-01 03:50:00+00:00,-0.07346869469244466,46
2026-05-01 04:10:00+00:00,-0.11072518761327543,46
2026-05-01 04:15:00+00:00,-0.006344157862653632,46
2026-05-01 04:30:00+00:00,-0.024508296710028077,46
2026-05-01 04:40:00+00:00,-0.04365268433187364,46
2026-05-01 04:50:00+00:00,-0.01841076731172997,46
2026-05-01 04:55:00+00:00,-0.02416082998281499,46
2026-05-01 05:05:00+00:00,-0.06070734330861105,46
2026-05-01 05:20:00+00:00,-0.0661081590860575,46
2026-05-01 06:00:00+00:00,-0.07291149580838763,46
2026-05-01 08:10:00+00:00,-0.03043130113404513,46
2026-05-01 08:15:00+00:00,-0.01522362943038258,46
2026-05-01 09:00:00+00:00,-0.01254098880287391,46
2026-05-01 12:40:00+00:00,-0.02953743003960274,46
2026-05-01 13:00:00+00:00,-0.013884990447194379,46
2026-05-01 13:40:00+00:00,-0.012741542095933478,46
2026-05-02 02:10:00+00:00,-0.004537487587195743,46
2026-05-02 04:05:00+00:00,-0.026844316849019445,46
2026-05-02 04:10:00+00:00,-0.0341373497014994,46
2026-05-02 06:50:00+00:00,-2.3661582351452992e-05,46
2026-05-02 09:15:00+00:00,-0.07329537389620933,46
2026-05-02 10:30:00+00:00,-0.02180616995977347,46
2026-05-02 10:40:00+00:00,-0.035635907076600026,46
2026-05-02 10:45:00+00:00,-0.06175131031443948,46
2026-05-02 10:50:00+00:00,-0.04004640147370231,46
2026-05-02 10:55:00+00:00,-0.015270418190569734,46
2026-05-02 11:00:00+00:00,-0.027939464392961688,46
2026-05-02 11:20:00+00:00,-0.009355233553962505,46
2026-05-02 11:40:00+00:00,-0.06359241271386895,46
2026-05-02 12:00:00+00:00,-0.05769314672341408,46
2026-05-02 12:20:00+00:00,-0.043279421653911854,46
2026-05-02 13:30:00+00:00,-0.043447019039162815,46
2026-05-02 13:35:00+00:00,-0.015592522868086212,46
2026-05-03 08:50:00+00:00,-0.055720922242471715,46
2026-05-03 08:55:00+00:00,-0.028219141805972292,46
2026-05-03 09:20:00+00:00,-0.01575432609664007,46
2026-05-03 23:45:00+00:00,-0.03682665364333071,46
2026-05-04 00:05:00+00:00,-0.052018146932400366,46
2026-05-04 00:10:00+00:00,-0.01606210913362771,46
2026-05-04 00:15:00+00:00,-0.008873821081051947,46
2026-05-04 00:30:00+00:00,-0.005546954212343191,46
2026-05-04 01:55:00+00:00,-0.0011266216187887368,46
2026-05-04 04:05:00+00:00,-0.038244663759001596,46
2026-05-04 04:10:00+00:00,-0.01725241768435204,46
2026-05-04 04:55:00+00:00,-0.0022329532191339707,46
2026-05-04 05:00:00+00:00,-0.01910734869017927,46
2026-05-04 05:10:00+00:00,-0.02099284363713727,46
2026-05-04 05:20:00+00:00,-0.012915265195066916,46
2026-05-04 05:35:00+00:00,-0.0209219401556604,46
2026-05-04 08:20:00+00:00,-0.08384104822929384,46
2026-05-04 09:35:00+00:00,-0.008069595053213252,46
2026-05-04 10:55:00+00:00,-0.006380494699513517,46
2026-05-04 11:40:00+00:00,-0.02918846094772598,46
2026-05-04 12:20:00+00:00,-0.03415680652830566,46
