time,metric,value,if_score
2026-04-30 02:10:00+00:00,M029,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M037,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M104,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M162,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M164,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M185,51.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M204,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M238,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M265,13.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M318,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M336,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M348,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M362,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M378,77.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M392,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M419,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M430,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M452,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M474,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M475,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M490,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M494,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M516,2.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M520,2689.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M529,1.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M609,8.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M610,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M618,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M658,75.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M688,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M696,1182.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M719,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M736,1.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M767,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M779,5.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M786,83.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M841,2.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M843,1.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M855,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M874,225.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M899,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M904,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M965,6.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M971,4183.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M972,0.0,-0.0150167577204674
2026-04-30 02:10:00+00:00,M991,0.0,-0.0150167577204674
2026-05-01 01:55:00+00:00,M029,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M037,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M104,2.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M162,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M164,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M185,55.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M204,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M238,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M265,12.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M318,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M336,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M348,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M362,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M378,62.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M392,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M419,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M430,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M452,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M474,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M475,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M490,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M494,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M516,4.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M520,2759.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M529,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M609,16.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M610,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M618,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M658,60.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M688,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M696,1145.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M719,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M736,2.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M767,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M779,5.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M786,72.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M841,5.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M843,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M855,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M874,253.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M899,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M904,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M965,8.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M971,4261.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M972,0.0,-0.006182930802368758
2026-05-01 01:55:00+00:00,M991,0.0,-0.006182930802368758
2026-05-01 02:00:00+00:00,M029,0.0,-0.07690131754074014
2026-05-01 02:00:00+00:00,M037,0.0,-0.07690131754074014
2026-05-01 02:00:00+00:00,M104,2.0,-0.07690131754074014
2026-05-01 02:00:00+00:00,M162,0.0,-0.07690131754074014
2026-05-01 02:00:00+00:00,M164,0.0,-0.07690131754074014
2026-05-01 02:00:00+00:00,M185,59.0,-0.07690131754074014
2026-05-01 02:00:00+00:00,M204,0.0,-0.07690131754074014
2026-05-01 02:00:00+00:00,M238,0.0,-0.07690131754074014
2026-05-01 02:00:00+00:00,M265,10.0,-0.07690131754074014
2026-05-01 02:00:00+00:00,M318,0.0,-0.07690131754074014
2026-05-01 02:00:00+00:00,M336,0.0,-0.07690131754074014
2026-05-01 02:00:00+00:00,M348,0.0,-0.07690131754074014
2026-05-01 02:00:00+00:00,M362,0.0,-0.07690131754074014
2026-05-01 02:00:00+00:00,M378,65.0,-0.07690131754074014
2026-05-01 02:00:00+00:00,M392,0.0,-0.07690131754074014
2026-05-01 02:00:00+00:00,M419,0.0,-0.07690131754074014
2026-05-01 02:00:00+00:00,M430,0.0,-0.07690131754074014
2026-05-01 02:00:00+00:00,M452,0.0,-0.07690131754074014
2026-05-01 02:00:00+00:00,M474,0.0,-0.07690131754074014
2026-05-01 02:00:00+00:00,M475,0.0,-0.07690131754074014
2026-05-01 02:00:00+00:00,M490,0.0,-0.07690131754074014
2026-05-01 02:00:00+00:00,M494,0.0,-0.07690131754074014
2026-05-01 02:00:00+00:00,M516,11.0,-0.07690131754074014
